,Unnamed: 0,USO_id,RMS,LUFS,dbFS,dist_group,centroid,flatness,onset_slope,time_cog,spectral_slope,centroid_control,onset_delay,onset_delay_avg
126,N_uso_300ms_18_room-10-35-3_dist-1260.wav,18,55.67092,-24.99999,-38.31134,4.0,8620.26257,0.27211,165.20084,0.22886,-14.37152,13061.88952,0.03689,0.03515
127,N_uso_300ms_7_room-10-35-3_dist-22.wav,7,56.18703,-25.00002,-37.80275,1.0,3653.53437,0.04901,162.29918,0.18263,-6.11954,4387.34448,0.00084,0.00079
128,N_uso_300ms_14_room-10-35-3_dist-1260.wav,14,54.61254,-25.0,-39.37815,4.0,4765.8004,0.08463,145.4637,0.20634,-9.02694,7001.4014,0.01816,0.02132
129,N_uso_300ms_2_room-10-35-3_dist-1080.wav,2,56.16131,-25.00001,-37.82336,4.0,3180.80186,0.07839,168.86621,0.25428,-3.78693,5983.07423,0.02227,0.02241
130,N_uso_300ms_11_room-10-35-3_dist-2375.wav,11,55.89632,-25.43978,-38.0958,5.0,6657.1274,0.23452,185.02518,0.28301,-4.33652,13178.0649,0.06934,0.07299
131,N_uso_300ms_17_room-10-35-3_dist-198.wav,17,53.65706,-25.0,-40.34279,2.0,6052.98541,0.0699,150.7125,0.1937,-7.65916,6556.91326,0.00601,0.00549
132,N_uso_300ms_21_room-10-35-3_dist-1260.wav,21,55.96896,-25.44439,-38.01105,4.0,2182.8739,0.02445,350.86175,0.27394,-7.75766,5953.88393,7e-05,5e-05
133,N_uso_300ms_14_room-10-35-3_dist-525.wav,14,54.61632,-25.00001,-39.37815,3.0,5116.94376,0.09927,138.90519,0.1953,-10.41625,7001.4014,0.01549,0.01476
134,N_uso_300ms_7_room-10-35-3_dist-2750.wav,7,56.46085,-25.44169,-37.51927,5.0,2431.93315,0.01909,133.72981,0.27544,-3.06839,4387.34448,0.07977,0.07289
135,N_uso_300ms_28_room-10-35-3_dist-2375.wav,28,56.84423,-25.4001,-37.14877,5.0,1863.5637,0.01896,182.21415,0.29476,-10.37415,3538.41813,0.06934,0.07299
136,N_uso_300ms_19_room-10-35-3_dist-19.wav,19,54.41247,-25.0,-39.57783,1.0,5474.86524,0.13109,161.06279,0.21516,-15.91184,6219.02942,0.00075,0.00079
137,N_uso_300ms_19_room-10-35-3_dist-18.wav,19,54.42643,-25.00002,-39.57783,1.0,5637.20525,0.13634,133.51662,0.21449,-15.76828,6219.02942,0.00073,0.00079
138,N_uso_300ms_5_room-10-35-3_dist-450.wav,5,56.18985,-24.99996,-37.80275,3.0,7465.37863,0.22701,246.09645,0.24757,-12.91189,12763.95584,0.01331,0.01476
139,N_uso_300ms_7_room-10-35-3_dist-180.wav,7,56.35627,-24.99994,-37.63963,2.0,3501.65345,0.03849,164.33498,0.18744,-5.80249,4387.34448,0.00544,0.00544
140,N_uso_300ms_5_room-10-35-3_dist-2375.wav,5,57.66617,-25.36354,-36.3296,5.0,4780.52972,0.16296,249.7609,0.31641,-0.8279,12763.95584,0.06934,
141,N_uso_300ms_2_room-10-35-3_dist-1320.wav,2,56.27141,-25.0,-37.72081,4.0,3094.6133,0.07602,150.80728,0.2553,-3.0101,5983.07423,0.02254,0.02241
142,N_uso_300ms_10_room-10-35-3_dist-189.wav,10,52.99296,-25.0,-41.00134,2.0,8236.59829,0.10078,152.98441,0.16916,-14.32129,9079.78731,5e-05,
143,N_uso_300ms_3_room-10-35-3_dist-22.wav,3,53.88363,-24.99997,-40.0981,1.0,4726.6867,0.16302,121.3016,0.16031,-13.15871,6425.33807,2e-05,5e-05
144,N_uso_300ms_10_room-10-35-3_dist-162.wav,10,54.14238,-25.0,-39.86011,2.0,8466.42096,0.09283,181.39232,0.21182,-14.43643,9079.78731,0.00492,
145,N_uso_300ms_14_room-10-35-3_dist-450.wav,14,54.7817,-25.00002,-39.20711,3.0,5361.38585,0.1147,136.70722,0.19338,-10.9384,7001.4014,0.01331,0.01476
146,N_uso_300ms_27_room-10-35-3_dist-1200.wav,27,54.94433,-25.56137,-39.03938,4.0,3586.74137,0.03977,204.99169,0.21176,-11.76109,4314.0991,0.03517,0.03517
147,N_uso_300ms_7_room-10-35-3_dist-2625.wav,7,56.51555,-25.43876,-37.47952,5.0,2408.40554,0.01709,129.32178,0.27677,-3.23287,4387.34448,0.07662,0.07289
148,N_uso_300ms_25_room-10-35-3_dist-550.wav,25,54.55475,-25.00001,-39.42764,3.0,6018.19808,0.18467,129.31433,0.20744,-19.66914,9781.01857,0.00014,
149,N_uso_300ms_28_room-10-35-3_dist-1080.wav,28,56.98328,-25.0,-36.99738,4.0,2035.88883,0.02579,224.31374,0.23707,-11.8774,3538.41813,0.03166,0.03515
150,N_uso_300ms_3_room-10-35-3_dist-475.wav,3,55.12479,-25.64787,-38.87482,3.0,3669.68356,0.10082,118.28347,0.18134,-7.82503,6425.33807,5e-05,4e-05
151,N_uso_300ms_20_room-10-35-3_dist-1200.wav,20,55.50168,-25.0,-38.48771,4.0,6656.39381,0.20079,184.80982,0.27245,-26.20284,11169.41205,0.03515,
152,N_uso_300ms_18_room-10-35-3_dist-2750.wav,18,55.84861,-25.44154,-38.13848,5.0,7293.94095,0.24158,159.66629,0.27931,-9.81834,13061.88952,0.08027,0.07299
153,N_uso_300ms_22_room-10-35-3_dist-550.wav,22,56.12393,-24.99999,-37.86472,3.0,6473.79744,0.18514,97.80458,0.13153,-12.33844,11799.12829,0.01624,0.01478
154,N_uso_300ms_18_room-10-35-3_dist-198.wav,18,55.14469,-25.0,-38.85157,2.0,11100.82637,0.3142,164.45071,0.18464,-19.95131,13061.88952,0.00596,0.00544
155,N_uso_300ms_14_room-10-35-3_dist-2750.wav,14,54.67138,-25.55531,-39.32893,5.0,4346.35789,0.07467,138.50652,0.21311,-6.27646,7001.4014,0.02011,
156,N_uso_300ms_22_room-10-35-3_dist-22.wav,22,54.49856,-25.00003,-39.50241,1.0,8288.74991,0.26364,99.65949,0.12069,-20.26039,11799.12829,0.00086,0.00081
157,N_uso_300ms_11_room-10-35-3_dist-180.wav,11,54.87068,-25.00001,-39.11087,2.0,11051.05535,0.31405,204.50983,0.19969,-12.69802,13178.0649,0.00544,0.00544
158,N_uso_300ms_11_room-10-35-3_dist-1080.wav,11,56.18089,-25.00001,-37.80275,4.0,8262.7691,0.26566,189.1512,0.24173,-7.17459,13178.0649,0.03166,0.03515
159,N_uso_300ms_2_room-10-35-3_dist-2375.wav,2,56.36107,-25.44021,-37.61945,5.0,2763.37675,0.05942,149.90971,0.26484,-2.17285,5983.07423,0.02256,0.01894
160,N_uso_300ms_17_room-10-35-3_dist-189.wav,17,53.52743,-25.00002,-40.45379,2.0,5576.47258,0.05717,142.78083,0.19537,-7.81955,6556.91326,0.00576,0.00549
161,N_uso_300ms_5_room-10-35-3_dist-1320.wav,5,56.97754,-25.40194,-37.01616,4.0,5591.36494,0.18138,254.51081,0.27842,-6.73695,12763.95584,0.02556,0.03253
162,N_uso_300ms_21_room-10-35-3_dist-2750.wav,21,56.72736,-25.40237,-37.26407,5.0,1541.7142,0.01516,253.87831,0.2925,-4.32337,5953.88393,5e-05,4e-05
163,N_uso_300ms_17_room-10-35-3_dist-162.wav,17,53.47633,-25.00004,-40.50983,2.0,6186.51308,0.06804,142.10939,0.19429,-8.25857,6556.91326,0.00497,0.00549
164,N_uso_300ms_19_room-10-35-3_dist-1200.wav,19,54.80909,-24.99999,-39.18295,4.0,3525.60547,0.05513,119.35628,0.20852,-8.27579,6219.02942,2e-05,0.02812
165,N_uso_300ms_7_room-10-35-3_dist-1260.wav,7,56.43003,-25.49218,-37.5592,4.0,2617.53345,0.02232,162.64332,0.23042,-5.41944,4387.34448,0.03689,0.03515
166,N_uso_300ms_2_room-10-35-3_dist-450.wav,2,55.69421,-25.0,-38.28954,3.0,3815.59389,0.10524,151.77685,0.23271,-5.76453,5983.07423,0.01331,0.01476
167,N_uso_300ms_21_room-10-35-3_control.wav,21,57.825,-24.99998,-36.1576,,5953.88393,0.13182,306.91313,0.13639,-48.4381,5953.88393,2e-05,
168,N_uso_300ms_19_room-10-35-3_dist-20.wav,19,54.38071,-25.0,-39.60312,1.0,5515.26745,0.12551,161.42643,0.21608,-15.80547,6219.02942,0.00079,0.00079
169,N_uso_300ms_19_room-10-35-3_dist-21.wav,19,54.40413,-25.00001,-39.57783,1.0,5432.57051,0.13015,130.97684,0.21542,-15.8899,6219.02942,0.00082,0.00079
170,N_uso_300ms_19_room-10-35-3_dist-2250.wav,19,54.88651,-25.55787,-39.11087,5.0,3205.39362,0.04463,121.21485,0.2173,-6.96379,6219.02942,2e-05,0.00102
171,N_uso_300ms_19_room-10-35-3_dist-180.wav,19,55.1354,-24.44258,-38.85157,2.0,4837.02743,0.10492,128.99483,0.22649,-13.26791,6219.02942,0.00544,0.00544
172,N_uso_300ms_18_room-10-35-3_dist-2625.wav,18,55.93533,-25.44147,-38.05332,5.0,7095.65598,0.24583,160.45268,0.27337,-10.67538,13061.88952,0.07662,0.07299
173,N_uso_300ms_3_room-10-35-3_dist-500.wav,3,55.21243,-25.64601,-38.78217,3.0,3524.38807,0.09522,116.4925,0.1838,-7.3595,6425.33807,2e-05,4e-05
174,N_uso_300ms_10_room-10-35-3_dist-198.wav,10,52.93147,-25.0,-41.06104,2.0,8206.03373,0.09156,149.52634,0.16745,-13.97632,9079.78731,2e-05,
175,N_uso_300ms_28_room-10-35-3_dist-1320.wav,28,57.11831,-25.39989,-36.86704,4.0,1858.83603,0.02427,184.82887,0.26585,-10.69286,3538.41813,0.03864,0.03515
176,N_uso_300ms_14_room-10-35-3_dist-2625.wav,14,54.71136,-25.5577,-39.28,5.0,4186.61431,0.07248,149.52856,0.21066,-7.02659,7001.4014,0.01374,
177,N_uso_300ms_11_room-10-35-3_dist-22.wav,11,54.22183,-25.00003,-39.78221,1.0,11895.6194,0.35611,180.51165,0.19055,-15.90137,13178.0649,0.00084,0.00079
178,N_uso_300ms_20_room-10-35-3_dist-2250.wav,20,55.0404,-25.49141,-38.94496,5.0,5614.04835,0.17462,178.16316,0.25123,-26.41291,11169.41205,2e-05,4e-05
179,N_uso_300ms_21_room-10-35-3_dist-2625.wav,21,56.32001,-25.44092,-37.65985,5.0,1705.20756,0.01675,234.33331,0.28811,-4.68343,5953.88393,5e-05,4e-05
180,N_uso_300ms_5_room-10-35-3_dist-1080.wav,5,56.58443,-25.40194,-37.40055,4.0,6110.01799,0.19323,249.23972,0.28991,-7.74211,12763.95584,0.03166,0.03253
181,N_uso_300ms_25_room-10-35-3_control.wav,25,59.83142,-25.00001,-34.1583,,9781.01857,0.41368,268.60195,0.16032,-59.07963,9781.01857,0.00039,
